filename,identifier_type,identifier
10.1002adma.201806660.pdf,doi,10.1002/adma.201806660
10.1002adma.201808279.pdf,doi,10.1002/adma.201808279
10.1002adma.201902899.pdf,doi,10.1002/adma.201902899
10.1002adma.202002784.pdf,doi,10.1002/adma.202002784
10.1002adma.202005897.pdf,doi,10.1002/adma.202005897
10.1002adma.202105707.pdf,doi,10.1002/adma.202105707
10.1002adma.202107316.pdf,doi,10.1002/adma.202107316
10.1002adma.202108317.pdf,doi,10.1002/adma.202108317
10.1002adma.202108749.pdf,doi,10.1002/adma.202108749
10.1002adma.202110155.pdf,doi,10.1002/adma.202110155
10.1002adma.202202608.pdf,doi,10.1002/adma.202202608
10.1002adma.202203379.pdf,doi,10.1002/adma.202203379
10.1002adma.202205926.pdf,doi,10.1002/adma.202205926
10.1002adma.202207020.pdf,doi,10.1002/adma.202207020
10.1002adom.202300776.pdf,doi,10.1002/adom.202300776
10.1002advs.201500095.pdf,doi,10.1002/advs.201500095
10.1002advs.201500250.pdf,doi,10.1002/advs.201500250
10.1002advs.201600032.pdf,doi,10.1002/advs.201600032
10.1002advs.201600117.pdf,doi,10.1002/advs.201600117
10.1002advs.201903419.pdf,doi,10.1002/advs.201903419
10.1002advs.202000149.pdf,doi,10.1002/advs.202000149
10.1002advs.202001986.pdf,doi,10.1002/advs.202001986
10.1002advs.202104613.pdf,doi,10.1002/advs.202104613
10.1002advs.202203513.pdf,doi,10.1002/advs.202203513
10.1002advs.202302880.pdf,doi,10.1002/advs.202302880
10.1002aelm.201800915.pdf,doi,10.1002/aelm.201800915
10.1002aelm.202300422.pdf,doi,10.1002/aelm.202300422
10.1002aenm.201601225.pdf,doi,10.1002/aenm.201601225
10.1002aenm.201700390.pdf,doi,10.1002/aenm.201700390
10.1002aenm.201700519.pdf,doi,10.1002/aenm.201700519
10.1002aenm.201701073.pdf,doi,10.1002/aenm.201701073
10.1002aenm.201701201.pdf,doi,10.1002/aenm.201701201
10.1002aenm.201701942.pdf,doi,10.1002/aenm.201701942
10.1002aenm.201702831.pdf,doi,10.1002/aenm.201702831
10.1002aenm.201702941.pdf,doi,10.1002/aenm.201702941
10.1002aenm.201703058.pdf,doi,10.1002/aenm.201703058
10.1002aenm.201800550.pdf,doi,10.1002/aenm.201800550
10.1002aenm.201802050.pdf,doi,10.1002/aenm.201802050
10.1002aenm.201901728.pdf,doi,10.1002/aenm.201901728
10.1002aenm.201903609.pdf,doi,10.1002/aenm.201903609
10.1002aenm.202001203.pdf,doi,10.1002/aenm.202001203
10.1002aenm.202001589.pdf,doi,10.1002/aenm.202001589
10.1002aenm.202003141.pdf,doi,10.1002/aenm.202003141
10.1002aenm.202102135.pdf,doi,10.1002/aenm.202102135
10.1002aenm.202200641.pdf,doi,10.1002/aenm.202200641
10.1002aenm.202300249.pdf,doi,10.1002/aenm.202300249
10.1002aenm.202300980.pdf,doi,10.1002/aenm.202300980
10.1002anie.201806354.pdf,doi,10.1002/anie.201806354
10.1002anie.202115585.pdf,doi,10.1002/anie.202115585
10.1002app.45399.pdf,doi,10.1002/app.45399
10.1002asia.201100419.pdf,doi,10.1002/asia.201100419
10.1002chem.202002632.pdf,doi,10.1002/chem.202002632
10.1002cphc.200901023.pdf,doi,10.1002/cphc.200901023
10.1007_978-3-319-50257-1_23-1.pdf,doi,10.1007/978-3-319-50257-1_23-1
10.1007_s00339-024-08125-y.pdf,doi,10.1007/s00339-024-08125-y
10.1016_j.applthermaleng.2015.01.054.pdf,doi,10.1016/j.applthermaleng.2015.01.054
10.1016_j.apsusc.2019.03.312.pdf,doi,10.1016/j.apsusc.2019.03.312
10.1016_j.automatica.2019.108688.pdf,doi,10.1016/j.automatica.2019.108688
10.1016_j.carbon.2020.02.0430008-6223_2020.pdf,doi,10.1016/j.carbon.2020.02.043
10.1016_j.commatsci.2017.10.039.pdf,doi,10.1016/j.commatsci.2017.10.039
10.1016_j.commatsci.2020.109559.pdf,doi,10.1016/j.commatsci.2020.109559
10.1016_j.commatsci.2021.110823.pdf,doi,10.1016/j.commatsci.2021.110823
10.1016_j.cpc.2023.109015.pdf,doi,10.1016/j.cpc.2023.109015
10.1016_j.cpc.2024.109206.pdf,doi,10.1016/j.cpc.2024.109206
10.1016_j.jallcom.2016.09.076.pdf,doi,10.1016/j.jallcom.2016.09.076
10.1016_j.jmr.2022.107186.pdf,doi,10.1016/j.jmr.2022.107186
10.1016_j.joule.2019.06.018.pdf,doi,10.1016/j.joule.2019.06.018
10.1016_j.micrna.2023.207679.pdf,doi,10.1016/j.micrna.2023.207679
10.1016_j.micron.2020.102981.pdf,doi,10.1016/j.micron.2020.102981
10.1016_j.nanoen.2020.104982.pdf,doi,10.1016/j.nanoen.2020.104982
10.1016_j.orgel.2006.07.002.pdf,doi,10.1016/j.orgel.2006.07.002
10.1016_j.orgel.2014.02.014.pdf,doi,10.1016/j.orgel.2014.02.014
10.1016_j.orgel.2018.10.030.pdf,doi,10.1016/j.orgel.2018.10.030
10.1016_j.physe.2011.10.003.pdf,doi,10.1016/j.physe.2011.10.003
10.1016_j.porgcoat.2024.108505.pdf,doi,10.1016/j.porgcoat.2024.108505
10.1016_j.rinp.2021.104503.pdf,doi,10.1016/j.rinp.2021.104503
10.1016_j.rinp.2022.105597.pdf,doi,10.1016/j.rinp.2022.105597
10.1016_j.seta.2020.100829.pdf,doi,10.1016/j.seta.2020.100829
10.1016_j.solmat.2014.11.033.pdf,doi,10.1016/j.solmat.2014.11.033
10.1016_j.solmat.2018.03.024.pdf,doi,10.1016/j.solmat.2018.03.024
10.1016_j.solmat.2022.111945..pdf,doi,10.1016/j.solmat.2022.111945
10.1016_j.surfin.2016.11.008.pdf,doi,10.1016/j.surfin.2016.11.008
10.1016_j.synthmet.2016.06.010.pdf,doi,10.1016/j.synthmet.2016.06.010
10.1021_acs.accounts.5b00431.pdf,doi,10.1021/acs.accounts.5b00431
10.1021_acs.chemmater.6b03221.pdf,doi,10.1021/acs.chemmater.6b03221
10.1021_acs.chemmater.8b04476.pdf,doi,10.1021/acs.chemmater.8b04476
10.1021_acs.jcim.1c01506.pdf,doi,10.1021/acs.jcim.1c01506
10.1021_acs.jctc.5b01238 10.1021_acs.jctc.5b01238.pdf,doi,10.1021/acs.jctc.5b01238
10.1021_acs.jpca.1c00603.pdf,doi,10.1021/acs.jpca.1c00603
10.1021_acs.jpca.2c03906.pdf,doi,10.1021/acs.jpca.2c03906
10.1021_acs.jpca.8b08265.pdf,doi,10.1021/acs.jpca.8b08265
10.1021_acs.jpca.8b08656.pdf,doi,10.1021/acs.jpca.8b08656
10.1021_acs.jpca.8b12222.pdf,doi,10.1021/acs.jpca.8b12222
10.1021_acs.jpcc.0c03543.pdf,doi,10.1021/acs.jpcc.0c03543
10.1021_acs.jpcc.0c07389.pdf,doi,10.1021/acs.jpcc.0c07389
10.1021_acs.jpcc.0c08011.pdf,doi,10.1021/acs.jpcc.0c08011
10.1021_acs.jpcc.0c08263.pdf,doi,10.1021/acs.jpcc.0c08263
10.1021_acs.jpcc.1c03656.pdf,doi,10.1021/acs.jpcc.1c03656
10.1021_acs.jpcc.1c10977.pdf,doi,10.1021/acs.jpcc.1c10977
10.1021_acs.jpcc.3c02938.pdf,doi,10.1021/acs.jpcc.3c02938
10.1021_acs.jpcc.5b05392.pdf,doi,10.1021/acs.jpcc.5b05392
10.1021_acs.jpcc.5b10025.pdf,doi,10.1021/acs.jpcc.5b10025
10.1021_acs.jpcc.5b12611.pdf,doi,10.1021/acs.jpcc.5b12611
10.1021_acs.jpcc.6b00190.pdf,doi,10.1021/acs.jpcc.6b00190
10.1021_acs.jpcc.7b00333.pdf,doi,10.1021/acs.jpcc.7b00333
10.1021_acs.jpcc.7b03640.pdf,doi,10.1021/acs.jpcc.7b03640
10.1021_acs.jpcc.7b05904.pdf,doi,10.1021/acs.jpcc.7b05904
10.1021_acs.jpcc.7b11188.pdf,doi,10.1021/acs.jpcc.7b11188
10.1021_acs.jpcc.9b03348.pdf,doi,10.1021/acs.jpcc.9b03348
10.1021_acs.jpclett.1c00347.pdf,doi,10.1021/acs.jpclett.1c00347
10.1021_acs.jpclett.1c02761.pdf,doi,10.1021/acs.jpclett.1c02761
10.1021_acs.jpclett.2c01337.pdf,doi,10.1021/acs.jpclett.2c01337
10.1021_acs.jpclett.2c02622.pdf,doi,10.1021/acs.jpclett.2c02622
10.1021_acs.jpclett.8b00008.pdf,doi,10.1021/acs.jpclett.8b00008
10.1021_acs.jpclett.8b01761.pdf,doi,10.1021/acs.jpclett.8b01761
10.1021_acs.jpclett.9b00896.pdf,doi,10.1021/acs.jpclett.9b00896
10.1021_acs.langmuir.2c01023.pdf,doi,10.1021/acs.langmuir.2c01023
10.1021_acs.macromol.0c02278.pdf,doi,10.1021/acs.macromol.0c02278
10.1021_acs.macromol.9b01269.pdf,doi,10.1021/acs.macromol.9b01269
10.1021_acs.nanolett.5b04141.pdf,doi,10.1021/acs.nanolett.5b04141
10.1021_acs.nanolett.6b03704.pdf,doi,10.1021/acs.nanolett.6b03704
10.1021_acs.nanolett.9b00644.pdf,doi,10.1021/acs.nanolett.9b00644
10.1021_acsaem.3c02371.pdf,doi,10.1021/acsaem.3c02371
10.1021_acsaem.8b01326.pdf,doi,10.1021/acsaem.8b01326
10.1021_acsami.0c11187.pdf,doi,10.1021/acsami.0c11187
10.1021_acsami.5b06578.pdf,doi,10.1021/acsami.5b06578
10.1021_acsami.7b01183.pdf,doi,10.1021/acsami.7b01183
10.1021_acsami.7b08365.pdf,doi,10.1021/acsami.7b08365
10.1021_acsami.7b19442.pdf,doi,10.1021/acsami.7b19442
10.1021_acsami.9b03884.pdf,doi,10.1021/acsami.9b03884
10.1021_acsapm.9b00833.pdf,doi,10.1021/acsapm.9b00833
10.1021_acsenergylett.0c00763.pdf,doi,10.1021/acsenergylett.0c00763
10.1021_acsenergylett.2c02698.pdf,doi,10.1021/acsenergylett.2c02698
10.1021_acsnano.6b06592.pdf,doi,10.1021/acsnano.6b06592
10.1021_acsnano.8b01026.pdf,doi,10.1021/acsnano.8b01026
10.1021_acsphotonics.2c00096.pdf,doi,10.1021/acsphotonics.2c00096
10.1021_acsphotonics.7b00282.pdf,doi,10.1021/acsphotonics.7b00282
10.1021_acsphotonics.7b00320.pdf,doi,10.1021/acsphotonics.7b00320
10.1021_jacs.6b09645.pdf,doi,10.1021/jacs.6b09645
10.1021_jp2077215.pdf,doi,10.1021/jp2077215
10.1021_jp506641m.pdf,doi,10.1021/jp506641m
10.1021_jp5084373.pdf,doi,10.1021/jp5084373
10.1021_jz300744r.pdf,doi,10.1021/jz300744r
10.1021_jz301883y.pdf,doi,10.1021/jz301883y
10.1021_nl500390f.pdf,doi,10.1021/nl500390f
10.1021_nn403190s.pdf,doi,10.1021/nn403190s
10.1038_ncomms2057.pdf,doi,10.1038/ncomms2057
10.1038_ncomms6757.pdf,doi,10.1038/ncomms6757
10.1038_ncomms8383.pdf,doi,10.1038/ncomms8383
10.1038_nmat4975.pdf,doi,10.1038/nmat4975
10.1038_npjcompumats.2015.3.pdf,doi,10.1038/npjcompumats.2015.3
10.1038_s41467-017-00588-3.pdf,doi,10.1038/s41467-017-00588-3
10.1038_s41467-018-06330-x.pdf,doi,10.1038/s41467-018-06330-x
10.1038_s41467-018-07571-6.pdf,doi,10.1038/s41467-018-07571-6
10.1038_s41467-021-22049-8.pdf,doi,10.1038/s41467-021-22049-8
10.1038_s41467-022-31326-z.pdf,doi,10.1038/s41467-022-31326-z
10.1038_s41467-023-42460-7.pdf,doi,10.1038/s41467-023-42460-7
10.1038_s41524-019-0231-y.pdf,doi,10.1038/s41524-019-0231-y
10.1038_s41565-025-01917-0.pdf,doi,10.1038/s41565-025-01917-0
10.1038_s41586-018-0683-0.pdf,doi,10.1038/s41586-018-0683-0
10.1038_s41597-025-05186-3.pdf,doi,10.1038/s41597-025-05186-3
10.1038_s41598-017-04621-9.pdf,doi,10.1038/s41598-017-04621-9
10.1038_s41598-017-09442-4.pdf,doi,10.1038/s41598-017-09442-4
10.1038_s42005-018-0013-8.pdf,doi,10.1038/s42005-018-0013-8
10.1038_srep03797.pdf,doi,10.1038/srep03797
10.1038_srep10633.pdf,doi,10.1038/srep10633
10.1038_srep29437.pdf,doi,10.1038/srep29437
10.1039_C0JM01786H.pdf,doi,10.1039/C0JM01786H
10.1039_C2CP43491A.pdf,doi,10.1039/C2CP43491A
10.1039_C4CP01791A.pdf,doi,10.1039/C4CP01791A
10.1039_C4QI00093E.pdf,doi,10.1039/C4QI00093E
10.1039_C5CP02448J.pdf,doi,10.1039/C5CP02448J
10.1039_C5CP05348J.pdf,doi,10.1039/C5CP05348J
10.1039_C5EE03435C.pdf,doi,10.1039/C5EE03435C
10.1039_C6MH00053C.pdf,doi,10.1039/C6MH00053C
10.1039_C6TA00677A.pdf,doi,10.1039/C6TA00677A
10.1039_C8CP05535A.pdf,doi,10.1039/C8CP05535A
10.1039_C8TA04098B.pdf,doi,10.1039/C8TA04098B
10.1039_C8TC00875B.pdf,doi,10.1039/C8TC00875B
10.1039_C9FD00069K.pdf,doi,10.1039/C9FD00069K
10.1039_D1CP02666F.pdf,doi,10.1039/D1CP02666F
10.1039_D1CS00106J.pdf,doi,10.1039/D1CS00106J
10.1039_D1TA07579A.pdf,doi,10.1039/D1TA07579A
10.1039_D1TA10860C.pdf,doi,10.1039/D1TA10860C
10.1039_D1TC01813B.pdf,doi,10.1039/D1TC01813B
10.1039_D3CP01279D.pdf,doi,10.1039/D3CP01279D
10.1039_D4EE02612H.pdf,doi,10.1039/D4EE02612H
10.1039_c5nr04083c.pdf,doi,10.1039/c5nr04083c
10.1039_c7nr00355b.pdf,doi,10.1039/c7nr00355b
10.1039_c8nr03137a.pdf,doi,10.1039/c8nr03137a
10.1039_d1mh00999k.pdf,doi,10.1039/d1mh00999k
10.1039_d3sc05409h.pdf,doi,10.1039/d3sc05409h
10.1063_1.2752540.pdf,doi,10.1063/1.2752540
10.1063_1.3607871.pdf,doi,10.1063/1.3607871
10.1063_1.3699371.pdf,doi,10.1063/1.3699371
10.1063_1.4731637.pdf,doi,10.1063/1.4731637
10.1063_1.4769041.pdf,doi,10.1063/1.4769041
10.1063_1.4816720.pdf,doi,10.1063/1.4816720
10.1063_1.4822094.pdf,doi,10.1063/1.4822094
10.1063_1.4824147.pdf,doi,10.1063/1.4824147
10.1063_1.4856815.pdf,doi,10.1063/1.4856815
10.1063_1.4880276.pdf,doi,10.1063/1.4880276
10.1063_1.4901444.pdf,doi,10.1063/1.4901444
10.1063_1.4916278.pdf,doi,10.1063/1.4916278
10.1063_1.4941345.pdf,doi,10.1063/1.4941345
10.1063_1.4941921.pdf,doi,10.1063/1.4941921
10.1063_1.4999172.pdf,doi,10.1063/1.4999172
10.1063_1.5002643.pdf,doi,10.1063/1.5002643
10.1063_1.5027553.pdf,doi,10.1063/1.5027553
10.1063_1.5066605.pdf,doi,10.1063/1.5066605
10.1063_1.5082704.pdf,doi,10.1063/1.5082704
10.1063_1.5083632.pdf,doi,10.1063/1.5083632
10.1063_1.5099132.pdf,doi,10.1063/1.5099132
10.1063_1.5115260.pdf,doi,10.1063/1.5115260
10.1063_1.5130572.pdf,doi,10.1063/1.5130572
10.1063_5.0006126.pdf,doi,10.1063/5.0006126
10.1063_5.0036590.pdf,doi,10.1063/5.0036590
10.1063_5.0050574.pdf,doi,10.1063/5.0050574
10.1063_5.0055649.pdf,doi,10.1063/5.0055649
10.1063_5.0076267.pdf,doi,10.1063/5.0076267
10.1063_5.0076611.pdf,doi,10.1063/5.0076611
10.1063_5.0080250.pdf,doi,10.1063/5.0080250
10.1063_5.0082311.pdf,doi,10.1063/5.0082311
10.1063_5.0104641.pdf,doi,10.1063/5.0104641
10.1063_5.0157644.pdf,doi,10.1063/5.0157644
10.1073_pnas.1609030113.pdf,doi,10.1073/pnas.1609030113
10.1073_pnas.1812227115.pdf,doi,10.1073/pnas.1812227115
10.1080_09500340.2014.940019.pdf,doi,10.1080/09500340.2014.940019
10.1088_0031-9120_46_5_F01.pdf,doi,10.1088/0031-9120_46_5_F01
10.1088_0957-4484_23_36_365706.pdf,doi,10.1088/0957-4484_23_36_365706
10.1088_1361-648X_aaf0e1.pdf,doi,10.1088/1361-648X_aaf0e1
10.1088_1361-648X_ab86ee.pdf,doi,10.1088/1361-648X_ab86ee
10.1088_1361-6528_ab3ab0.pdf,doi,10.1088/1361-6528_ab3ab0
10.1088_1361-6528_ab7679.pdf,doi,10.1088/1361-6528_ab7679
10.1088_1361-6528_ac5542.pdf,doi,10.1088/1361-6528_ac5542
10.1088_1367-2630_15_1_013030.pdf,doi,10.1088/1367-2630_15_1_013030
10.1088_1367-2630_16_4_045019.pdf,doi,10.1088/1367-2630_16_4_045019
10.1088_1367-2630_aae295.pdf,doi,10.1088/1367-2630_aae295
10.1088_1674-1056_23_8_086801.pdf,doi,10.1088/1674-1056_23_8_086801
10.1088_1674-1056_27_8_088801.pdf,doi,10.1088/1674-1056_27_8_088801
10.1088_1674-1056_ad9017.pdf,doi,10.1088/1674-1056_ad9017
10.1088_1742-6596_1092_1_012038.pdf,doi,10.1088/1742-6596_1092_1_012038
10.1088_1742-6596_1124_4_041022.pdf,doi,10.1088/1742-6596_1124_4_041022
10.1088_1742-6596_200_6_062017.pdf,doi,10.1088/1742-6596_200_6_062017
10.1088_1742-6596_334_1_012060.pdf,doi,10.1088/1742-6596_334_1_012060
10.1088_2058-8585_aa5707.pdf,doi,10.1088/2058-8585_aa5707
10.1088_2515-7620_acf02e.pdf,doi,10.1088/2515-7620_acf02e
10.1088_2632-2153_aba002.pdf,doi,10.1088/2632-2153_aba002
10.1093_nsr_nwab094.pdf,doi,10.1093/nsr_nwab094
10.1103_PRXEnergy.3.043003.pdf,doi,10.1103/PRXEnergy.3.043003
10.1103_PhysRevApplied.11.054090.pdf,doi,10.1103/PhysRevApplied.11.054090
10.1103_PhysRevApplied.12.064039.pdf,doi,10.1103/PhysRevApplied.12.064039
10.1103_PhysRevApplied.13.014052.pdf,doi,10.1103/PhysRevApplied.13.014052
10.1103_PhysRevApplied.13.024006.pdf,doi,10.1103/PhysRevApplied.13.024006
10.1103_PhysRevApplied.15.064009.pdf,doi,10.1103/PhysRevApplied.15.064009
10.1103_PhysRevApplied.15.064035.pdf,doi,10.1103/PhysRevApplied.15.064035
10.1103_PhysRevApplied.2.014008.pdf,doi,10.1103/PhysRevApplied.2.014008
10.1103_PhysRevB.101.115125.pdf,doi,10.1103/PhysRevB.101.115125
10.1103_PhysRevB.107.195121.pdf,doi,10.1103/PhysRevB.107.195121
10.1103_PhysRevB.110.115306.pdf,doi,10.1103/PhysRevB.110.115306
10.1103_PhysRevB.81.035209.pdf,doi,10.1103/PhysRevB.81.035209
10.1103_PhysRevB.83.115103.pdf,doi,10.1103/PhysRevB.83.115103
10.1103_PhysRevB.83.121309.pdf,doi,10.1103/PhysRevB.83.121309
10.1103_PhysRevB.88.075105.pdf,doi,10.1103/PhysRevB.88.075105
10.1103_PhysRevB.90.205305.pdf,doi,10.1103/PhysRevB.90.205305
10.1103_PhysRevB.91.041107.pdf,doi,10.1103/PhysRevB.91.041107
10.1103_PhysRevB.91.245105.pdf,doi,10.1103/PhysRevB.91.245105
10.1103_PhysRevB.92.125301.pdf,doi,10.1103/PhysRevB.92.125301
10.1103_PhysRevB.93.094105.pdf,doi,10.1103/PhysRevB.93.094105
10.1103_PhysRevB.93.155432.pdf,doi,10.1103/PhysRevB.93.155432
10.1103_PhysRevB.93.205204.pdf,doi,10.1103/PhysRevB.93.205204
10.1103_PhysRevB.94.094301.pdf,doi,10.1103/PhysRevB.94.094301
10.1103_PhysRevB.94.165105.pdf,doi,10.1103/PhysRevB.94.165105
10.1103_PhysRevB.96.174111.pdf,doi,10.1103/PhysRevB.96.174111
10.1103_PhysRevB.99.195151.pdf,doi,10.1103/PhysRevB.99.195151
10.1103_PhysRevE.102.062213.pdf,doi,10.1103/PhysRevE.102.062213
10.1103_PhysRevLett.102.017401.pdf,doi,10.1103/PhysRevLett.102.017401
10.1103_PhysRevLett.105.266602.pdf,doi,10.1103/PhysRevLett.105.266602
10.1103_PhysRevLett.112.137402.pdf,doi,10.1103/PhysRevLett.112.137402
10.1103_PhysRevLett.114.136602.pdf,doi,10.1103/PhysRevLett.114.136602
10.1103_PhysRevLett.118.136001.pdf,doi,10.1103/PhysRevLett.118.136001
10.1103_PhysRevLett.118.247702.pdf,doi,10.1103/PhysRevLett.118.247702
10.1103_PhysRevLett.121.026001.pdf,doi,10.1103/PhysRevLett.121.026001
10.1103_PhysRevLett.122.223202.pdf,doi,10.1103/PhysRevLett.122.223202
10.1103_PhysRevLett.123.100502.pdf,doi,10.1103/PhysRevLett.123.100502
10.1103_PhysRevLett.127.096801.pdf,doi,10.1103/PhysRevLett.127.096801
10.1103_PhysRevLett.127.127402.pdf,doi,10.1103/PhysRevLett.127.127402
10.1103_PhysRevLett.92.247402.pdf,doi,10.1103/PhysRevLett.92.247402
10.1103_PhysRevMaterials.1.042401.pdf,doi,10.1103/PhysRevMaterials.1.042401
10.1103_PhysRevMaterials.2.012401.pdf,doi,10.1103/PhysRevMaterials.2.012401
10.1103_PhysRevMaterials.2.123601.pdf,doi,10.1103/PhysRevMaterials.2.123601
10.1103_PhysRevMaterials.3.125403.pdf,doi,10.1103/PhysRevMaterials.3.125403
10.1103_PhysRevMaterials.3.125406.pdf,doi,10.1103/PhysRevMaterials.3.125406
10.1103_PhysRevMaterials.4.051601.pdf,doi,10.1103/PhysRevMaterials.4.051601
10.1109_JPHOTOV.2017.2775164.pdf,doi,10.1109/JPHOTOV.2017.2775164
10.1109_JSEN.2020.3037463.pdf,doi,10.1109/JSEN.2020.3037463
10.1109_MVT.2025.3555366.pdf,doi,10.1109/MVT.2025.3555366
10.1109_ROPEC50909.2020.9258760.pdf,doi,10.1109/ROPEC50909.2020.9258760
10.1109_TED.2007.891871.pdf,doi,10.1109/TED.2007.891871
10.1109_TPWRS.2021.3120195.pdf,doi,10.1109/TPWRS.2021.3120195
10.1117_12.2076275.pdf,doi,10.1117/12.2076275
10.1126_sciadv.abl9692.pdf,doi,10.1126/sciadv.abl9692
10.1126_science.1217745.pdf,doi,10.1126/science.1217745
10.1140_epjst_e2019-800140-1.pdf,doi,10.1140/epjst_e2019-800140-1
10.1209_0295-5075_108_67015.pdf,doi,10.1209/0295-5075_108_67015
10.1209_0295-5075_125_38001.pdf,doi,10.1209/0295-5075_125_38001
10.1557_mrc.2015.69.pdf,doi,10.1557/mrc.2015.69
10.20998_2074-272X.2021.5.08.pdf,doi,10.20998/2074-272X.2021.5.08
10.21468_SciPostPhys.18.1.038.pdf,doi,10.21468/SciPostPhys.18.1.038
10.3938_jkps.69.381.pdf,doi,10.3938/jkps.69.381
10.4236_sgre.2016.79019.pdf,doi,10.4236/sgre.2016.79019
10.5488_CMP.19.23803.pdf,doi,10.5488/CMP.19.23803
10.7566_JPSJ.88.115003.pdf,doi,10.7566/JPSJ.88.115003
10.7567_JJAP.54.08KF04.pdf,doi,10.7567/JJAP.54.08KF04
1003.2341v1.pdf,arxiv,1003.2341v1
1005.5340v1.pdf,arxiv,1005.5340v1
1011.0956v1.pdf,arxiv,1011.0956v1
1103.4539v1.pdf,arxiv,1103.4539v1
1107.0924v2.pdf,arxiv,1107.0924v2
1201.4325v1.pdf,arxiv,1201.4325v1
1201.6588v2.pdf,arxiv,1201.6588v2
1202.0817v1.pdf,arxiv,1202.0817v1
1209.2041v1.pdf,arxiv,1209.2041v1
1303.2821v1.pdf,arxiv,1303.2821v1
1304.1611v1.pdf,arxiv,1304.1611v1
1309.2818v1.pdf,arxiv,1309.2818v1
1309.6308v1.pdf,arxiv,1309.6308v1
1310.6634v1.pdf,arxiv,1310.6634v1
1312.6245v1.pdf,arxiv,1312.6245v1
1411.1561v1.pdf,arxiv,1411.1561v1
1412.3439v1.pdf,arxiv,1412.3439v1
1504.03647v1.pdf,arxiv,1504.03647v1
1505.01238v1.pdf,arxiv,1505.01238v1
1506.00496v1.pdf,arxiv,1506.00496v1
1507.04865v1.pdf,arxiv,1507.04865v1
1507.06531v1.pdf,arxiv,1507.06531v1
